,0
0,10.0
1,196.8969066112504
2,193.67716925238122
3,193.58898460537128
4,194.26483842987167
5,194.19881901088155
6,194.47474637836305
7,194.8279587725705
8,194.9720195241259
9,194.8938260159659
10,194.66945916476232
11,194.5399710150876
12,194.69259046059747
13,194.9862125193402
14,195.16810888031642
15,195.1352316150996
16,194.93391104712944
17,194.7615356162008
18,194.84170625994085
19,195.11886051034264
20,195.3373826556042
21,195.35814966118522
22,195.19370271147955
23,194.99900823503256
24,195.00932441486947
25,195.25447256101825
26,195.49965570978748
27,195.57022010334128
28,195.44829812879914
29,195.24898234882946
30,195.1972564270351
31,195.39678602319836
32,195.65715083136584
33,195.77259516097004
34,195.69548129235926
35,195.50612488835523
36,195.40483433006162
37,195.5491347341048
38,195.81192445340037
39,195.96662994113626
40,195.93425499669124
41,195.76566593834784
42,195.62969502429146
43,195.71441145521
44,195.96606953976092
45,196.15370207549392
46,196.16452138154014
47,196.02384508609225
48,195.86824158125205
49,195.89461204321972
50,196.12181547009678
51,196.3350667515318
52,196.3867236270964
53,196.2780632462417
54,196.11629476590625
55,196.09046186016576
56,196.28155611093493
57,196.51180772722583
58,196.60153378101563
59,196.52678810188308
60,196.36974025745147
61,196.30127510123532
62,196.44772162356296
63,196.6848944461011
64,196.80961407976892
65,196.76930162003828
66,196.62501372103853
67,196.52511035417515
68,196.6224862777078
69,196.85532901168574
70,197.01145436364294
71,197.00538649972813
72,196.87934773135632
73,196.75916699525527
74,196.8073996545842
75,197.0243168781109
76,197.20728776317384
77,197.23502990159412
78,197.13078707914298
79,197.00028245025268
80,197.003084122297
81,197.19336007328644
82,197.39710124512544
83,197.45818860766616
84,197.37803341513188
85,197.2453766907516
86,197.20912036954124
87,197.36418967344972
88,197.58075857726936
89,197.67462525809884
90,197.62020125553406
91,197.4917396626918
92,197.42415736683665
93,197.53852815485243
94,197.7582195836524
95,197.88380919124776
96,197.85656280411075
97,197.73713122217345
98,197.6461854546254
99,197.7177611562457
100,197.92978244676559
101,203.01129699652833
102,207.9187782536443
103,212.73453428424
104,217.55027953126643
105,222.5045749515004
106,227.6573279953063
107,232.82649156106794
108,237.83808387884554
109,242.6983058704864
110,247.50833509339617
111,252.43359647184857
112,257.5837394187838
113,262.80459342390765
114,267.8667763796082
115,272.7462154699457
116,277.543712621826
117,282.4297312715871
118,287.5571495000855
119,292.82103898554107
120,297.9435745389293
121,297.9048003869201
122,297.787696366959
123,297.71793019333967
124,297.86659036415745
125,298.18486500892305
126,298.3794618039829
127,298.34167848401535
128,298.1718265991766
129,298.03446715445585
130,298.10936810657756
131,298.40202389614416
132,298.6387770170425
133,298.64366019397653
134,298.4897218510518
135,298.33003486226744
136,298.34622916528616
137,298.60434254838844
138,298.8767688704327
139,298.92887628038613
140,298.79650096506435
141,298.6229727387257
142,298.58506819430727
143,298.7947665995657
144,299.08868797000304
145,299.1907372687948
146,299.0854867801071
147,298.9064732023781
148,298.8218377736523
149,298.97391725503496
150,299.2719788139917
151,299.42432167112645
152,299.3519037368962
153,299.1753875781692
154,299.0531096125065
155,299.14331854007116
156,299.4266089608674
157,299.62536710791187
158,299.5913449927818
159,299.4246204532329
160,299.27465354940256
161,299.3036097285311
162,299.55406863154354
163,299.79008041554965
164,299.7994317271491
165,299.64896686563856
166,299.4814122551025
167,299.45407583189734
168,299.65684211023427
169,299.9157337502064
170,299.97188457905435
171,299.8433541457246
172,299.66779850482476
173,299.59255685958584
174,299.7377584439002
175,300.00132753300744
176,300.10471371798127
177,300.00321357335287
178,299.8281347235133
179,299.7156158871866
180,299.7993471406043
181,300.0480237734935
182,300.1946348179581
183,300.1249079288025
184,299.957236291204
185,299.81899769613756
186,299.84339865975335
187,300.0592120527678
188,300.2398095582799
189,300.2061606636319
190,300.0511644380601
191,299.89841933428283
192,299.87088828761796
193,300.0402604069426
194,300.24085726409265
195,300.2465085264571
196,300.1081647768209
197,299.9507013213869
198,299.8823890967932
199,299.9981630442198
200,300.20157647961446
