,0
0,50.0
1,204.3596901788454
2,219.19287636738062
3,218.0794051750057
4,213.70234879024338
5,211.07706241552518
6,212.86239658186744
7,217.72115435666146
8,221.2730685956136
9,220.18684825971542
10,215.6770799469749
11,212.03475713874005
12,212.54961979610914
13,216.88003428558193
14,221.18213318618157
15,221.43263589502985
16,217.55082665832256
17,213.3220994850111
18,212.59961208917474
19,216.10710543738054
20,220.8002977053993
21,222.3313540862218
22,219.358233069972
23,214.86553035233987
24,213.01328001977842
25,215.50496464115534
26,220.23225688382018
27,222.8798626228272
28,221.01228530969652
29,216.58625858218727
30,213.78111780805818
31,215.1479303962549
32,219.57837474910124
33,223.09771660889595
34,222.4384610597375
35,218.39670071294793
36,214.87183039391485
37,215.08684434241627
38,218.9389697189021
39,223.03350063690758
40,223.58445329293158
41,220.20684272129546
42,216.23544380360988
43,215.34843480744038
44,218.40519128359995
45,222.7584163231598
46,224.42507030306876
47,221.93110789642202
48,217.80726904719768
49,215.93641265091364
50,218.052259155792
51,222.3572070480147
52,224.96413760542578
53,223.4954269471162
54,219.51258031855193
55,216.83363414731494
56,217.93562514828062
57,221.91828171838844
58,225.23282996558893
59,224.84375088693022
60,221.27209688711145
61,218.00491101296564
62,218.08969843072518
63,221.5247790503815
64,225.2845064646489
65,225.94301172233287
66,223.00817740754533
67,219.4003689176552
68,218.52840100268676
69,221.24784039939257
70,225.18694554135655
71,226.78552204865576
72,224.65134604832198
73,220.95946096364187
74,219.24682044367182
75,221.1425945601277
76,225.013505939448
77,227.38811321872726
78,226.1464513111647
79,222.61576404487923
80,220.2234861444344
81,221.24662104876782
82,224.83490581605508
83,227.78794994714409
84,227.45750964359044
85,224.30252801471963
86,221.42313215340798
87,221.5802113500804
88,224.7129505932306
89,228.03577130775963
90,228.57024065014477
91,225.95867571547106
92,222.8000822655854
93,222.14771986991798
94,224.69688046152515
95,228.18809298630805
96,229.49173876245126
97,227.53490512774155
98,224.3029142894954
99,222.94025795294343
100,224.83102488299212
101,233.23075180540334
102,241.1671797199347
103,245.8061090433773
104,248.01435938028837
105,251.156493365456
106,257.84349084822253
107,267.41031820124977
108,276.4191950223785
109,281.8456539828287
110,284.0035222020452
111,286.33443639214534
112,292.23037012501305
113,301.79919810943625
114,311.6309328794969
115,317.9919066638203
116,320.3864117984448
117,322.0502458682214
118,327.0299251180635
119,336.3645967445954
120,346.8990317658162
121,349.08036257668283
122,346.08247456608166
123,341.7903951822019
124,340.50574968617224
125,343.6873333741834
126,348.4769560391876
127,350.46989626766515
128,348.1158735354965
129,343.8790240555184
130,341.8732326422007
131,344.29656815601845
132,349.12071153614045
133,351.87471388252374
134,350.2537568829407
135,346.1097692392744
136,343.44459784504903
137,345.05098303331533
138,349.769304082311
139,353.22138628738384
140,352.35155839799853
141,348.37896132515584
142,345.1636274778964
143,345.9418969296668
144,350.42030558365667
145,354.5066232511982
146,354.42597113271637
147,350.6831193519389
148,347.0011018703209
149,346.9579638046549
150,351.0710483094858
151,355.7201155596859
152,356.49464959345715
153,353.0436456022958
154,348.94310992122894
155,348.0859276575164
156,351.71648286087077
157,356.83768814407523
158,358.55568086521413
159,355.4936309421212
160,350.9957892378392
161,349.3150771154638
162,352.35135805984015
163,357.8272382989005
164,360.5804095212874
165,358.0638207105196
166,353.18807430913245
167,350.6436430763798
168,352.97197378475147
169,358.6557112229634
170,362.51334737310117
171,360.76623988792767
172,355.5687954770453
173,352.0862680161997
174,353.57838155613183
175,359.29473229428726
176,364.2784212321844
177,363.57934196557983
178,358.196492057984
179,353.68083040883664
180,354.1781738765202
181,359.7240628148409
182,365.78933407226896
183,366.43896424054344
184,361.122247584306
185,355.49204927965803
186,354.7925702520561
187,359.9334421948284
188,366.9609949160121
189,369.23810905129363
190,364.3685781109353
191,357.6092664813589
192,355.46510636585845
193,359.9252148390107
194,367.72061959292733
195,371.83811537223806
196,367.91308872955244
197,360.14205710361443
198,356.2809859901297
199,359.73493198035175
200,368.2055401792502
