,0,1,2,3,4
0,797.4437308171705,780.4409208281331,797.4415842467995,789.7831334367012,788.8913228810729
1,659.642581807745,669.498760131264,647.3550246099123,661.7292919452597,666.0551010651184
2,639.2411062251997,650.0528824302976,642.4849162378583,640.1851708715272,649.6916682480455
3,640.2099675453157,633.1043598471663,650.5375491390695,634.6715676716358,641.9249347346712
4,631.360021920571,638.6600917131225,642.0192933281971,634.8184149619416,641.4525204100388
5,631.5197520912359,629.76338996876,631.4589990189528,639.58486407531,626.9621359770244
6,624.9467393248177,622.0719288020365,632.6278044276121,633.1076055172765,637.4629608912805
7,634.0500521944928,622.9837293079042,619.4711788718877,627.1019916680656,620.2723801099215
8,624.6469673871428,629.4777368067557,619.6360053554884,622.6051462089423,614.4892857161861
9,620.9565332197368,619.4009799618473,620.6206468247631,622.8963414226573,607.4514795114821
10,613.3811054795382,618.6213164254327,618.1656715066438,615.9334095626006,622.0370366856303
11,614.4081717960573,614.4291624193946,603.278704351504,615.3633240645572,613.734122931969
12,608.5130295708956,609.0570214283863,598.5684101952403,607.800488844335,602.9460210549076
13,593.8347769557951,605.5148587791223,599.3388099837997,609.5256180296309,593.1632238677065
14,589.7183273312014,592.8945100803929,597.2935255322737,597.1956861071594,593.993824459463
15,590.4600162685541,589.5826415308431,583.0859679891705,595.1961977152581,587.4072275299034
16,590.5475841537494,596.2045916640157,598.1910613461106,589.4950438897465,587.058811122844
17,588.4585432223115,587.6019294824263,577.4588697143296,579.6128070274907,581.3574549253647
18,572.1917921557513,575.97442589314,586.2849550610966,587.7816163403778,583.1821770245377
19,580.7093445231068,585.5416522835916,582.8984715442496,574.5187559553783,575.3143507990986
20,568.3473748645058,576.7839698194634,564.7864914881216,583.9289496037898,583.6381198127984
21,574.0109615384157,565.5127917871889,561.7073818221176,561.8476965941926,560.9564586445
22,562.5369738671907,564.4739199655693,564.5401358217193,558.7392782561375,573.0873444180113
23,565.9690504421129,570.7126636782014,563.0589133808942,565.3803251489927,570.9962995033576
