,0
0,10.0
1,199.6338769118805
2,199.96111842956532
3,199.97194326971268
4,199.96782276735146
5,199.95797473196023
6,199.95728797676446
7,199.96727241097358
8,199.9779298627857
9,199.9825289982531
10,199.97772715159056
11,199.96630550025714
12,199.961165871567
13,199.9681327088586
14,199.97859316341743
15,199.98470333738612
16,199.98252100841307
17,199.9723196592909
18,199.9646141668657
19,199.96877578724502
20,199.97884611513217
21,199.98616535609366
22,199.9863506928377
23,199.9780591292592
24,199.96878124628543
25,199.96992314816725
26,199.9790790083655
27,199.98720182335663
28,199.98935217819388
29,199.98327969920018
30,199.97346502198235
31,199.97166160283388
32,199.9793952852729
33,199.98794762500958
34,199.9916457323217
35,199.98780150788565
36,199.97837757423483
37,199.9740068976863
38,199.9798769103455
39,199.98850816251527
40,199.9933726640361
41,199.99155424670238
42,199.9832174465037
43,199.9769019314176
44,199.9805876220683
45,199.98895929989834
46,199.99467050906557
47,199.99456014427125
48,199.98772043902645
49,199.9802161749696
50,199.98156904334354
51,199.98934766428584
52,199.99565490350523
53,199.9969040559417
54,199.99169656902157
55,199.98376079704732
56,199.9828348989504
57,199.9896932534628
58,199.99640800855025
59,199.99870104584494
60,199.99504559937492
61,199.98731806187757
62,199.98436493155492
63,199.98999448544004
64,199.99697183149792
65,200.00006775332858
66,199.99775119552487
67,199.9906775841659
68,199.98610124762317
69,199.990235410215
70,199.99734566386627
71,200.00109997115706
72,199.99985984411356
73,199.99366907495718
74,199.98795031455674
75,199.9903937514076
76,199.99748815963648
77,200.0018562531774
78,200.0014527548627
79,199.99618271930083
80,199.9897927329476
81,199.9904475511133
82,199.99732558264435
83,200.0023468554691
84,200.00261808632706
85,199.99817418751843
86,199.99150175931553
87,199.9903811729877
88,199.99677224087526
89,200.0025363407896
90,200.00344201192084
91,199.9996813139697
92,199.99301072361007
93,199.9902655388803
94,199.99588862285432
95,200.0025718475992
96,200.00437322312152
97,200.0014593221661
98,199.99545500783614
99,199.992182906482
100,200.0070699227419
101,205.0026431166068
102,210.0051900852133
103,215.00305711473712
104,219.99639187988072
105,224.9890984506953
106,229.9901142778291
107,234.9984352614484
108,240.00370598220528
109,245.00240946256673
110,249.99547930422378
111,254.98655291341836
112,259.98557987959794
113,264.9949153948402
114,270.0023516103847
115,275.0015328437548
116,279.9937943224134
117,284.982684954473
118,289.9783688585927
119,294.9870952416484
120,299.98797049635317
121,299.9982811717796
122,299.99010872649427
123,299.9781248690355
124,299.9729752398858
125,299.98339416424096
126,299.9968172265268
127,299.9985332498774
128,299.98972337343076
129,299.97624231541084
130,299.96752990219363
131,299.97501203211357
132,299.9905290796137
133,299.99536052962736
134,299.9873881934862
135,299.9730020426584
136,299.9610647403101
137,299.96467840132686
138,299.9814447230725
139,299.99026901450685
140,299.9839768389853
141,299.9689765311076
142,299.95405988035867
143,299.95297063274836
144,299.96948736820127
145,299.9827545470388
146,299.97920610170456
147,299.96404078844927
148,299.94645260322966
149,299.94014516004023
150,299.95455937584535
151,299.97213071995975
152,299.97256862505026
153,299.9579483809676
154,299.9380781530849
155,299.9263777962211
156,299.93674875137464
157,299.95770830448646
158,299.96336793844915
159,299.95032434499103
160,299.9286846274713
161,299.9117208521561
162,299.91629971521155
163,299.93889902711146
164,299.9507236348961
165,299.94062324939426
166,299.91791621852167
167,299.8960674257182
168,299.8935223520404
169,299.9153098474339
170,299.93360956496707
171,299.92809083166355
172,299.9052919508901
173,299.8791478176068
174,299.86869429367965
175,299.88682607442513
176,299.9109731514829
177,299.9117913707871
178,299.89025659110547
179,299.86065614748424
180,299.84214201711353
181,299.8538746754948
182,299.882236036766
183,299.8911296585302
184,299.8728797090311
185,299.84129632621205
186,299.81565446605134
187,299.81943667000195
188,299.8503143790039
189,299.86979309069045
190,299.8591261005445
191,299.8300837791608
192,299.8026193311171
193,299.803008815501
194,299.84091722925825
195,299.881455356032
196,299.89489681598235
197,299.890138680644
198,299.89046944341834
199,299.92655930381676
200,300.3823795212981
